,Date,Game,Location,Time,Score,Rating,Reach
0,2022-11-21,Qatar vs Ecuador,"Al Bayt Stadium, Al Khor",19:00:00,Qatar 0 - 2 Ecuador,7.5,35000000
1,2022-11-22,Argentina vs Saudi Arabia,"Lusail Iconic Stadium, Lusail",13:00:00,Argentina 1 - 2 Saudi Arabia,8.9,60000000
2,2022-11-22,France vs Australia,"Al Janoub Stadium, Al Wakrah",22:00:00,France 4 - 1 Australia,9.1,42000000
3,2022-11-23,Germany vs Japan,"Khalifa International Stadium, Al Rayyan",16:00:00,Germany 1 - 2 Japan,8.4,55000000
4,2022-12-18,Argentina vs France,"Lusail Iconic Stadium, Lusail",18:00:00,Argentina 3(4) - 3(2) France,9.8,90000000
5,2022-11-21,England vs Iran,"Khalifa International Stadium, Al Rayyan",16:00:00,England 6 - 2 Iran,8.3,50000000
6,2022-11-22,Denmark vs Tunisia,"Education City Stadium, Al Rayyan",16:00:00,Denmark 0 - 0 Tunisia,7.4,32000000
7,2022-11-23,Spain vs Costa Rica,"Al Thumama Stadium, Doha",19:00:00,Spain 7 - 0 Costa Rica,9.2,60000000
8,2022-11-23,Belgium vs Canada,"Ahmed bin Ali Stadium, Al Rayyan",22:00:00,Belgium 1 - 0 Canada,8.0,47000000
9,2022-11-24,Brazil vs Serbia,"Lusail Iconic Stadium, Lusail",22:00:00,Brazil 2 - 0 Serbia,9.4,75000000
10,2022-11-25,Netherlands vs Ecuador,"Khalifa International Stadium, Al Rayyan",19:00:00,Netherlands 1 - 1 Ecuador,7.8,42000000
11,2022-11-26,France vs Denmark,"Stadium 974, Doha",19:00:00,France 2 - 1 Denmark,9.3,62000000
12,2022-11-28,Portugal vs Uruguay,"Lusail Iconic Stadium, Lusail",22:00:00,Portugal 2 - 0 Uruguay,9.0,68000000
13,2022-12-03,Argentina vs Australia,"Ahmed bin Ali Stadium, Al Rayyan",22:00:00,Argentina 2 - 1 Australia,9.5,72000000
14,2022-12-04,France vs Poland,"Al Thumama Stadium, Doha",18:00:00,France 3 - 1 Poland,9.2,65000000
15,2022-12-09,Brazil vs Croatia,"Education City Stadium, Al Rayyan",18:00:00,Brazil 1(2) - 1(4) Croatia,9.7,78000000
16,2022-12-10,England vs France,"Al Bayt Stadium, Al Khor",22:00:00,England 1 - 2 France,9.8,83000000
17,2022-12-13,Argentina vs Croatia,"Lusail Iconic Stadium, Lusail",22:00:00,Argentina 3 - 0 Croatia,9.7,85000000
18,2022-12-14,France vs Morocco,"Al Bayt Stadium, Al Khor",22:00:00,France 2 - 0 Morocco,9.9,87000000
