,Name,Year of release,Aired On,Number of Episode,Duration,Content Rating,Tags,Rank,Rating,Start Date,End Date,Network 1,Network 2,Genre 1,Genre 2,Main Actor,Second Role
0,Move to Heaven,2021, Friday,10,52,18+,"Autism, Uncle-Nephew Relationship, Death, Savant Syndrome, Mourning, Tearjerker, Father-Son Relationship, Life Lesson, Ex-convict, Cleaning And Organizing",1,9.2,2021-05-14,2021-05-14,Netflix,,Life, Drama,Lee Je Hoon,Tang Jun Sang
1,Hospital Playlist,2020, Thursday,12,90,15+,"Strong Friendship, Multiple Mains, Best Friends, Hospital, Slow Romance, Strong Female Lead, Multiple Couples, Slight Romance, Nice Male Lead, Bromance",2,9.1,2020-03-12,2020-05-28,Netflix,tvN,Friendship, Romance,Jo Jung Suk,Yoo Yeon Seok
2,Flower of Evil,2020," Wednesday, Thursday",16,70,15+,"Married Couple, Deception, Suspense, Family Secret, Hidden Personality, Smart Female Lead, Antisocial Personality Disorder, Investigation, Serial Killer, Psychopath",3,9.1,2020-07-29,2020-09-23,tvN,,Thriller, Romance,Lee Joon Gi,Moon Chae Won
3,Hospital Playlist 2,2021, Thursday,12,100,15+,"Workplace, Strong Friendship, Best Friends, Multiple Mains, Band, Music, Strong Female Lead, Multiple Couples, Comedy, Hospital",4,9.1,2021-06-17,2021-09-16,Netflix,tvN,Friendship, Romance,Jo Jung Suk,Yoo Yeon Seok
4,My Mister,2018," Wednesday, Thursday",16,77,15+,"Age Gap, Nice Male Lead, Strong Female Lead, Hardship, Smart Female Lead, Healing, Depression, Poor Female Lead, Workplace, Infidelity",5,9.1,2018-03-21,2018-05-17,tvN,,Psychological, Life,Lee Sun Kyun,IU
5,Prison Playbook,2017," Wednesday, Thursday",16,92,15+,"Prison, Bromance, Wrongfully Accused, Life Lesson, Slight Romance, Strong Male Lead, Character Development, Baseball, Gangster, Murder",6,9.1,2017-11-22,2018-01-18,Netflix,tvN,Comedy, Crime,Park Hae Soo,Jung Kyung Ho
6,Reply 1988,2015," Friday, Saturday",20,100,15+,"Neighbors, Slice Of Life, Childhood Friends, Multiple Couples, Nostalgia, Poor Family, Love Triangle, Best Friends, Heartfelt, High School",7,9.0,2015-11-06,2016-01-16,tvN,,Comedy, Romance,Lee Hye Ri,Go Kyung Pyo
7,It's Okay to Not Be Okay,2020," Saturday, Sunday",16,75,15+,"Sibling Relationship, Melodrama, Mental Health, Independent Female Lead, Emotionally Wounded, Successful Female Lead, Healing, Caregiver, Childhood Connection, Psychiatry",8,9.0,2020-06-20,2020-08-09,Netflix,tvN,Psychological, Comedy,Kim Soo Hyun,Seo Yea Ji
8,Mr. Queen,2020," Saturday, Sunday",20,80,15+,"Smart Male Lead, Transmigration, Calm Male Lead, Joseon Dynasty, Time Travel, Sassy Female Lead, Body Swap, Gender Swap, Eccentric Female Lead, Power Struggle",9,9.0,2020-12-12,2021-02-14,tvN,,Historical, Mystery,Shin Hye Sun,Kim Jung Hyun
9,Mother,2018," Wednesday, Thursday",16,63,15+,"Mother-Daughter Relationship, Independent Female Lead, Orphan Female Lead, Smart Female Lead, Child Abuse, Adoption, Strong Female Lead, Motherhood, Psychopath, Cohabitation",10,9.0,2018-01-24,2018-03-15,tvN,,Thriller, Mystery,Lee Bo Young,Heo Yool
10,Signal,2016," Friday, Saturday",16,75,15+,"Different Timelines, Hwaseong Serial Murders, Murder, Criminal Profiler, Serial Killer, Tragic Past, Smart Female Lead, Corruption, Time Altering, Kidnapping",11,9.0,2016-01-22,2016-03-12,tvN,,Thriller, Mystery,Lee Je Hoon,Kim Hye Soo
